NAME,PATH,DESCRIPTION
apfs_hfs_convert,/sbin/apfs_hfs_convert,apfs_hfs_convert(8) - convert an existing HFS file system to APFS file system
applesingle,/usr/bin/applesingle,"applesingle(1), binhex(1), macbinary(1) - encode and decode files"
appletviewer,/usr/bin/appletviewer,appletviewer(1) - Java applet viewer
apply,/usr/bin/apply,apply(1) - apply a command to a set of arguments
apply,/usr/bin/apply,apply(ntcl) - Apply an anonymous function
appsleepd,/usr/sbin/appsleepd,appsleepd(8) - app sleep daemon
apropos,/usr/bin/apropos,apropos(1) - search the whatis database for strings
apt,/usr/bin/apt,apt(1) - annotation processing tool
arch,/usr/bin/arch,arch(1) - print architecture type or run selected architecture of a universal binary
arp,/usr/sbin/arp,arp(4) - Address Resolution Protocol
arp,/usr/sbin/arp,arp(8) - address resolution display and control
asctl,/usr/bin/asctl,asctl(1) - App Sandbox Control Tool
aslmanager,/usr/sbin/aslmanager,aslmanager(8) - Apple System Log data life-cycle manager
asr,/usr/sbin/asr,asr(8) - Apple Software Restore; copy volumes (e.g. from disk images)
at,/usr/bin/at,"at(1), batch(1), atq(1), atrm(1) - queue, examine, or delete jobs for later execution"
atos,/usr/bin/atos,atos(1) - convert numeric addresses to symbols of binary images or processes
atsutil,/usr/bin/atsutil,atsutil(8) - font registration system utility
audit,/usr/sbin/audit,audit(4) - Security Event Audit
audit,/usr/sbin/audit,audit(5) - Basic Security Module (BSM) file format
audit,/usr/sbin/audit,audit(8) - audit management utility
auditd,/usr/sbin/auditd,auditd(8) - audit log management daemon
auditreduce,/usr/sbin/auditreduce,auditreduce(1) - select records from audit trail files
autodiskmount,/sbin/autodiskmount,autodiskmount(8) - disk support tool
automator,/usr/bin/automator,automator(1) - Runs Automator workflow
automount,/usr/sbin/automount,automount(8) - mount autofs on the appropriate mount points
avbdeviced,/usr/sbin/avbdeviced,avbdeviced(1) - peristent entity management for AVB
avbutil,/usr/bin/avbutil,avbutil(1) - manage AVB features and settings
avconvert,/usr/bin/avconvert,avconvert(1) - movie conversion tool
awk,/usr/bin/awk,awk(1) - pattern-directed scanning and processing language
banner,/usr/bin/banner,banner(6) - print large banner on printer
base64,/usr/bin/base64,base64(1) - Encode and decode using Base64 representation
base64,/usr/bin/base64,base64(n) - base64-encode/decode binary data
basename,/usr/bin/basename,"basename(1), dirname(1) - return filename or directory portion of pathname"
bash,/bin/bash,bash(1) - GNU Bourne-Again SHell
bashbug,/usr/bin/bashbug,bashbug(1) - report a bug in bash
bc,/usr/bin/bc,bc(1) - An arbitrary precision calculator language
biff,/usr/bin/biff,biff(1) - be notified if mail arrives and who it is from
binhex.pl,/usr/bin/binhex.pl,binhex.pl(1) - use Convert::BinHex to encode files as BinHex
bitesize.d,/usr/bin/bitesize.d,bitesize.d(1m) - analyse disk I/O size by process. Uses DTrace
bitmap,/opt/X11/bin/bitmap,bitmap(ntcl) - Images that display two colors
bless,/usr/sbin/bless,bless(8) - set volume bootability and startup disk options
bluetoothaudiod,/usr/sbin/bluetoothaudiod,bluetoothaudiod(8) - The Mac OS X Bluetooth audio daemon
bluetoothd,/usr/sbin/bluetoothd,bluetoothd(8) - The Bluetooth daemon
bnepd,/usr/sbin/bnepd,bnepd(8) - The Mac OS X Bluetooth network daemon
brctl,/usr/bin/brctl,brctl(1) - Manage the CloudDocs daemon
bspatch,/usr/bin/bspatch,bspatch(1) - apply a patch built with bsdiff(1)
btmmdiagnose,/usr/bin/btmmdiagnose,btmmdiagnose(8) - gather information to aid in diagnosing Back to My Mac issues
bzcmp,/usr/bin/bzcmp,"bzcmp(1), bzdiff(1) - compare bzip2 compressed files"
bzip2,/usr/bin/bzip2,"bzip2(1), bunzip2(1) - a block-sorting file compressor, v1.0.6 bzcat - decompresses files to stdout bzip2recover - recovers data from damaged bzip2 files"
bzmore,/usr/bin/bzmore,"bzmore(1), bzless(1) - file perusal filter for crt viewing of bzip2 compressed text"
c++filt,/usr/bin/c++filt,c++filt(1) - Demangle C++ and Java symbols
c2ph,/usr/bin/c2ph,"c2ph(1), pstruct(1) - Dump C structures as generated from cc -g -S stabs"
caffeinate,/usr/bin/caffeinate,caffeinate(8) - prevent the system from sleeping on behalf of a utility
cal,/usr/bin/cal,"cal(1), ncal(1) - displays a calendar and the date of Easter"
calendar,/usr/bin/calendar,calendar(1) - reminder service
cancel,/usr/bin/cancel,cancel(1) - cancel jobs
cap_mkdb,/usr/bin/cap_mkdb,cap_mkdb(1) - create capability database
